"filename", "language", "C++", "dream", "comment", "blank", "total"
"/home/napbad/Projects/dream/src/parse/DreamParserListenerCompiler.cpp", "C++", 925, 0, 36, 245, 1206
"/home/napbad/Projects/dream/src/parse/DreamParserListenerCompiler.h", "C++", 213, 0, 18, 107, 338
"/home/napbad/Projects/dream/src/runtime/class/Object.cpp", "C++", 18, 0, 12, 8, 38
"/home/napbad/Projects/dream/src/runtime/class/Object.h", "C++", 14, 0, 12, 13, 39
"/home/napbad/Projects/dream/src/runtime/common/common_const.cpp", "C++", 1, 0, 3, 2, 6
"/home/napbad/Projects/dream/src/runtime/common/common_const.h", "C++", 13, 0, 3, 12, 28
"/home/napbad/Projects/dream/src/runtime/dbg/debug_util.cpp", "C++", 77, 0, 3, 9, 89
"/home/napbad/Projects/dream/src/runtime/dbg/debug_util.h", "C++", 51, 0, 30, 14, 95
"/home/napbad/Projects/dream/src/runtime/gc/DataCopy.cpp", "C++", 1, 0, 1, 2, 4
"/home/napbad/Projects/dream/src/runtime/gc/DataCopy.h", "C++", 10, 0, 2, 7, 19
"/home/napbad/Projects/dream/src/runtime/gc/DataNode.cpp", "C++", 1, 0, 3, 3, 7
"/home/napbad/Projects/dream/src/runtime/gc/DataNode.h", "C++", 89, 0, 3, 23, 115
"/home/napbad/Projects/dream/src/runtime/gc/DataPath.cpp", "C++", 60, 0, 6, 12, 78
"/home/napbad/Projects/dream/src/runtime/gc/DataPath.h", "C++", 23, 0, 10, 14, 47
"/home/napbad/Projects/dream/src/runtime/gc/DataRoot.cpp", "C++", 45, 0, 3, 9, 57
"/home/napbad/Projects/dream/src/runtime/gc/DataRoot.h", "C++", 20, 0, 3, 9, 32
"/home/napbad/Projects/dream/src/runtime/gc/FunDataRoot.cpp", "C++", 30, 0, 3, 8, 41
"/home/napbad/Projects/dream/src/runtime/gc/FunDataRoot.h", "C++", 15, 0, 3, 13, 31
"/home/napbad/Projects/dream/src/runtime/gc/GCable.cpp", "C++", 1, 0, 3, 2, 6
"/home/napbad/Projects/dream/src/runtime/gc/GCable.h", "C++", 10, 0, 3, 8, 21
